date_p,Peff,val_calc_ngf
1987-03-01,1.5309753006451612,59.24
1987-04-01,0.8855130041333333,60.04
1987-05-01,0.8036648638709678,60.44
1987-06-01,1.5269274067,61.11
1987-07-01,1.0323454129032257,61.47
1987-08-01,0.8437243506451613,61.42
1987-09-01,0.8121756973333334,61.24
1987-10-01,2.0207745487096775,61.02
1987-11-01,1.7189689966666666,61.06
1987-12-01,0.6979035661290323,60.74
1988-01-01,3.698101885548387,61.31
1988-02-01,2.6618147437931032,66.61
1988-03-01,3.360564135483871,68.08
1988-04-01,1.00580993,69.74
1988-05-01,1.2195706708709677,71.47
1988-06-01,0.17812779480000002,71.72
1988-07-01,0.5478243180645161,71.67
1988-08-01,0.2097846600935484,71.06
1988-09-01,0.43355178563333335,70.95
1988-10-01,0.9097384313806451,69.97
1988-11-01,0.8530541006333333,69.29
1988-12-01,1.8856864154838708,69.22
1989-01-01,0.827602870483871,68.33
1989-02-01,1.3923405003571427,67.54
1989-03-01,1.8396659125806452,67.56
1989-04-01,0.9255435741666667,67.44
1989-05-01,0.26554664193548383,67.31
1989-06-01,0.30789685633333336,67.06
1989-07-01,0.03485051777419355,66.61
1989-08-01,0.00441548429032258,65.92
1989-09-01,0.06821275049333334,65.51
1989-10-01,0.10273797745161291,64.49
1989-11-01,0.19624595096666667,63.4
1989-12-01,0.5648175855806451,63.01
1990-01-01,1.0243426552580646,61.45
1990-02-01,3.4299094588214283,61.22
1990-03-01,0.18625061741935484,61.13
1990-04-01,0.8055453123333333,60.09
1990-05-01,0.004139134193548387,58.97
1990-06-01,0.17578047323333335,58.23
1990-07-01,0.008270342419354837,57.72
1990-08-01,0.012211467806451612,56.66
1990-09-01,0.054803246785666664,56.22
1990-10-01,0.29894635129032254,55.34
1990-11-01,0.47220558363333337,54.74
1990-12-01,1.3541023447741933,54.230000000000004
1991-01-01,1.9550700673548387,53.72
1991-02-01,0.9378054096428572,53.19
1991-03-01,0.8503794016129033,52.94
1991-04-01,0.6429129809,52.519999999999996
1991-05-01,0.2957408233225806,52.1
1991-06-01,0.3438513131,51.77
1991-07-01,0.6982496772258064,51.47
1991-08-01,0.015208409032258065,51.01
